Technology,var,technology
Off-grid Solar photovoltaic,Capacity|Electricity|Solar|PV,PV
On-grid Solar photovoltaic,Capacity|Electricity|Solar|PV,PV
Concentrated solar power,Capacity|Electricity|Solar|CSP,CSP
Off-grid Solar photovoltaic,Capacity|Electricity|Solar,
On-grid Solar photovoltaic,Capacity|Electricity|Solar,
Concentrated solar power,Capacity|Electricity|Solar,
Offshore wind energy,Capacity|Electricity|Wind|Offshore,wind_offshore
Onshore wind energy,Capacity|Electricity|Wind|Onshore,wind
Offshore wind energy,Capacity|Electricity|Wind,
Onshore wind energy,Capacity|Electricity|Wind,
Off-grid Solar photovoltaic,Capacity|Electricity|Non-Biomass Renewables,
On-grid Solar photovoltaic,Capacity|Electricity|Non-Biomass Renewables,
Concentrated solar power,Capacity|Electricity|Non-Biomass Renewables,
Offshore wind energy,Capacity|Electricity|Non-Biomass Renewables,
Onshore wind energy,Capacity|Electricity|Non-Biomass Renewables,
Off-grid Solar photovoltaic,Capacity|Electricity,
On-grid Solar photovoltaic,Capacity|Electricity,
Concentrated solar power,Capacity|Electricity,
Offshore wind energy,Capacity|Electricity,
Onshore wind energy,Capacity|Electricity,
