Region,Country,ISO.Code,RE.or.Non.RE,Group.Technology,Technology,Producer.Type,Year,Electricity.Installed.Capacity..MW.
Africa,Algeria,DZA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,"18,597"
Africa,Algeria,DZA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,"18,892"
Africa,Algeria,DZA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,"20,480"
Africa,Algeria,DZA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,"23,220"
Africa,Algeria,DZA,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,"24,078"
Africa,Algeria,DZA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,228
Africa,Algeria,DZA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,228
Africa,Algeria,DZA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,228
Africa,Algeria,DZA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,228
Africa,Algeria,DZA,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,228
Africa,Algeria,DZA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,219
Africa,Algeria,DZA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,400
Africa,Algeria,DZA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,423
Africa,Algeria,DZA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,423
Africa,Algeria,DZA,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,423
Africa,Algeria,DZA,Total Renewable,Solar energy,Concentrated solar power,On-grid,2016,25
Africa,Algeria,DZA,Total Renewable,Solar energy,Concentrated solar power,On-grid,2017,25
Africa,Algeria,DZA,Total Renewable,Solar energy,Concentrated solar power,On-grid,2018,25
Africa,Algeria,DZA,Total Renewable,Solar energy,Concentrated solar power,On-grid,2019,25
Africa,Algeria,DZA,Total Renewable,Solar energy,Concentrated solar power,On-grid,2020,25
Africa,Algeria,DZA,Total Renewable,Wind energy,Onshore wind energy,Off-grid,2016,10
Africa,Algeria,DZA,Total Renewable,Wind energy,Onshore wind energy,Off-grid,2017,10
Africa,Algeria,DZA,Total Renewable,Wind energy,Onshore wind energy,Off-grid,2018,10
Africa,Algeria,DZA,Total Renewable,Wind energy,Onshore wind energy,Off-grid,2019,10
Africa,Algeria,DZA,Total Renewable,Wind energy,Onshore wind energy,Off-grid,2020,10
Africa,Angola,AGO,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,"1,525"
Africa,Angola,AGO,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,"1,711"
Africa,Angola,AGO,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,"1,761"
Africa,Angola,AGO,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,"1,781"
Africa,Angola,AGO,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,"1,781"
Africa,Angola,AGO,Total Renewable,Bioenergy,Solid biofuels,On-grid,2016,51
Africa,Angola,AGO,Total Renewable,Bioenergy,Solid biofuels,On-grid,2017,51
Africa,Angola,AGO,Total Renewable,Bioenergy,Solid biofuels,On-grid,2018,51
Africa,Angola,AGO,Total Renewable,Bioenergy,Solid biofuels,On-grid,2019,51
Africa,Angola,AGO,Total Renewable,Bioenergy,Solid biofuels,On-grid,2020,51
Africa,Angola,AGO,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2016,7
Africa,Angola,AGO,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2017,7
Africa,Angola,AGO,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2018,7
Africa,Angola,AGO,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2019,7
Africa,Angola,AGO,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2020,7
Africa,Angola,AGO,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,"1,678"
Africa,Angola,AGO,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,"2,358"
Africa,Angola,AGO,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,"3,026"
Africa,Angola,AGO,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,"3,360"
Africa,Angola,AGO,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,"3,694"
Africa,Angola,AGO,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,13
Africa,Angola,AGO,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,13
Africa,Angola,AGO,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,13
Africa,Angola,AGO,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,13
Africa,Angola,AGO,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,13
Africa,Benin,BEN,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,200
Africa,Benin,BEN,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,200
Africa,Benin,BEN,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,174
Africa,Benin,BEN,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,301
Africa,Benin,BEN,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,301
Africa,Benin,BEN,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,1
Africa,Benin,BEN,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,1
Africa,Benin,BEN,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,1
Africa,Benin,BEN,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,1
Africa,Benin,BEN,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,1
Africa,Benin,BEN,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,2
Africa,Benin,BEN,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,2
Africa,Benin,BEN,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,2
Africa,Benin,BEN,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,2
Africa,Benin,BEN,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,2
Africa,Benin,BEN,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2016,1
Africa,Benin,BEN,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,1
Africa,Benin,BEN,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2018,1
